"Meadow","Region","Site","month","Lat","Long","cDiffMean","cDiffMeanHeat","cDiff90","cDiff90Heat","mDiffMean","hotcount","coldcount","mdiff90","hot90","cold90"
"AK_A","AK","A",2019-01-01,55.5,-133.169998168945,19.256095959596,19.256095959596,-2.45368181818183,0.827781818181809,0.740619075369075,26,0,-0.0943723776223781,7,19
"AK_A","AK","A",2019-02-01,55.5,-133.169998168945,8.81039393939393,8.92337878787878,-18.4174,0,0.314656926406926,26,2,-0.657764285714287,0,28
"AK_A","AK","A",2019-03-01,55.5,-133.169998168945,19.7390202020203,19.7924292929293,-13.3390181818182,0.97110909090908,0.636742587161944,30,1,-0.43029090909091,4,27
"AK_A","AK","A",2019-04-01,55.5,-133.169998168945,8.94181818181815,12.8773131313131,-23.0612818181818,1.07671818181817,0.298060606060605,18,12,-0.768709393939395,4,26
"AK_A","AK","A",2019-05-01,55.5,-133.169998168945,10.565177830941,11.6703444976077,-30.6929090909092,0.1223818181818,0.340812188094871,25,6,-0.990093841642232,1,30
"AK_A","AK","A",2019-06-01,55.5,-133.169998168945,23.3766687931953,25.2297501329083,-19.2765090909093,2.3261909090909,0.77922229310651,22,8,-0.64255030303031,9,21
"AK_A","AK","A",2019-07-01,55.5,-133.169998168945,15.1589808612439,19.7358516746411,-24.5165272727274,1.9566545454545,0.488999382620771,22,9,-0.790855718475077,5,26
"AK_A","AK","A",2019-08-01,55.5,-133.169998168945,9.3848359914939,16.3079460393408,-31.1226636363637,0.979145454545501,0.3027366448869,19,12,-1.0039568914956,3,28
"AK_A","AK","A",2019-09-01,55.5,-133.169998168945,21.8313476874003,21.8313476874003,-4.2664090909092,2.7959363636364,0.72771158958001,30,0,-0.14221363636364,7,23
"AK_A","AK","A",2019-10-01,55.5,-133.169998168945,6.74345454545466,8.10448484848486,-13.6806727272726,0.187536363636399,0.21753079178886,24,7,-0.441312023460407,4,27
"AK_A","AK","A",2019-11-01,55.5,-133.169998168945,24.1172676767677,24.1172676767677,-0.0873818181818109,4.76136363636364,0.803908922558922,30,0,-0.00291272727272703,16,14
"AK_A","AK","A",2019-12-01,55.5,-133.169998168945,13.9914823232323,13.9914823232323,-5.75295454545455,0.163772727272731,0.518203049008605,27,0,-0.213072390572391,4,23
"AK_B","AK","B",2019-01-01,55.7400016784668,-133.309997558594,20.5764747474748,20.5764747474748,-1.44955454545452,1.38089090909091,0.791402874902875,26,0,-0.0557520979020969,10,16
"AK_B","AK","B",2019-02-01,55.7400016784668,-133.309997558594,10.5071868686868,10.6255151515151,-16.5601272727273,0,0.375256673881673,26,2,-0.591433116883119,0,28
"AK_B","AK","B",2019-03-01,55.7400016784668,-133.309997558594,15.0736414141414,15.2337070707071,-17.6571818181818,0.159845454545451,0.486246497230368,29,2,-0.56958651026393,3,28
"AK_B","AK","B",2019-04-01,55.7400016784668,-133.309997558594,10.231106060606,12.1115454545454,-19.8234818181818,0.64282727272728,0.341036868686868,20,10,-0.660782727272728,4,26
"AK_B","AK","B",2019-05-01,55.7400016784668,-133.309997558594,8.15040669856458,10.6143864965444,-30.0317272727272,0.132190909090911,0.262916345114986,22,9,-0.968765395894427,1,30
"AK_B","AK","B",2019-06-01,55.7400016784668,-133.309997558594,18.4520470494417,19.9950422647527,-20.1875818181816,1.3908454545455,0.61506823498139,22,8,-0.672919393939387,10,20
"AK_B","AK","B",2019-07-01,55.7400016784668,-133.309997558594,18.0659138755979,22.4314545454544,-18.914109090909,2.954109090909,0.582771415341867,22,9,-0.610132551319645,4,27
"AK_B","AK","B",2019-08-01,55.7400016784668,-133.309997558594,7.11742636895289,13.8507942583733,-32.7465000000001,0.7573818181818,0.22959439899848,15,16,-1.05633870967742,4,27
"AK_B","AK","B",2019-09-01,55.7400016784668,-133.309997558594,17.4655778841042,17.4655778841042,-7.88043636363659,1.0217,0.58218592947014,30,0,-0.26268121212122,5,25
"AK_B","AK","B",2019-10-01,55.7400016784668,-133.309997558594,6.77142424242426,8.15751010101005,-13.1420181818182,0.445581818181799,0.218433040078202,23,8,-0.423936070381232,3,28
"AK_B","AK","B",2019-11-01,55.7400016784668,-133.309997558594,22.3165555555555,22.3394646464646,-1.49721818181824,4.80664545454546,0.743885185185185,29,1,-0.0499072727272747,16,14
"AK_B","AK","B",2019-12-01,55.7400016784668,-133.309997558594,13.698553030303,13.698553030303,-5.54077272727275,0.561154545454539,0.507353815937149,27,0,-0.205213804713806,5,22
"AK_C","AK","C",2019-01-01,55.7099990844727,-133.339996337891,20.7819595959596,20.7819595959596,-1.09935454545458,1.44367272727271,0.799306138306138,26,0,-0.0422828671328685,10,16
"AK_C","AK","C",2019-02-01,55.7099990844727,-133.339996337891,11.4316212121212,11.4605656565657,-15.361,0,0.408272186147186,27,1,-0.548607142857144,0,28
"AK_C","AK","C",2019-03-01,55.7099990844727,-133.339996337891,15.7585858585858,15.8296666666666,-17.3688363636364,0.25886363636363,0.50834147930922,29,2,-0.56028504398827,3,28
"AK_C","AK","C",2019-04-01,55.7099990844727,-133.339996337891,10.3763585858586,12.4583636363636,-19.8162181818182,0.692499999999979,0.34587861952862,20,10,-0.660540606060607,6,24
"AK_C","AK","C",2019-05-01,55.7099990844727,-133.339996337891,7.89069962785751,9.77940669856458,-30.0875363636365,0.092281818181819,0.254538697672823,23,8,-0.970565689149565,1,30
"AK_C","AK","C",2019-06-01,55.7099990844727,-133.339996337891,18.696408825093,20.0940116959063,-19.375390909091,1.2813454545454,0.623213627503099,22,8,-0.645846363636367,8,22
